time[sec],velocity[sec],angle[rad],x[m],y[m],
16.5,5,0.141721,36.550922,45.301933,
16.53,5,0.142706,36.685005,45.234703,
16.56,5,0.143611,36.816952,45.163383,
16.59,5,0.144932,36.948898,45.092064,
16.62,5,0.146152,37.080845,45.020744,
16.65,5,0.147272,37.212791,44.949425,
16.68,5,0.148306,37.344742,44.878098,
16.71,5,0.149259,37.474277,44.80249,
16.74,5,0.15064,37.603813,44.726875,
16.77,5,0.151914,37.733349,44.65126,
16.8,5,0.153087,37.862888,44.575645,
16.83,5,0.154171,37.992428,44.500038,
16.86,5,0.155163,38.119305,44.420036,
16.89,5,0.156602,38.246181,44.340034,
16.92,5,0.157927,38.373058,44.260033,
16.95,5,0.159153,38.499935,44.180031,
16.98,5,0.160281,38.626816,44.100029,
17.01,5,0.161316,38.750767,44.015564,
17.04,5,0.162812,38.874718,43.931099,
17.07,5,0.164189,38.998672,43.846626,
17.1,5,0.165459,39.122623,43.762161,
17.13,5,0.16663,39.246586,43.677689,
17.16,5,0.16771,39.367329,43.588692,
17.19,5,0.169228,39.488079,43.499695,
17.22,5,0.170628,39.608829,43.410698,
17.25,5,0.17192,39.72958,43.321701,
17.28,5,0.173107,39.847462,43.228966,
17.31,5,0.17465,39.965343,43.13623,
17.34,5,0.176073,40.083233,43.043495,
17.37,5,0.177383,40.201115,42.95076,
17.4,5,0.178595,40.319004,42.858017,
17.43,5,0.179708,40.433239,42.760818,
17.46,5,0.181219,40.547474,42.66362,
17.49,5,0.182616,40.661709,42.566422,
17.52,5,0.183903,40.775944,42.469223,
17.55,5,0.185085,40.890179,42.372025,
17.58,5,0.186172,41.000378,42.270264,
17.61,5,0.187651,41.110569,42.168503,
17.64,5,0.189021,41.220768,42.066742,
17.67,5,0.190283,41.330967,41.964981,
17.7,5,0.191444,41.437565,41.859482,
17.73,5,0.19254,41.544163,41.753983,
17.76,5,0.19355,41.650768,41.648483,
17.79,5,0.194485,41.757374,41.542976,
17.82,5,0.195341,41.863979,41.437469,
17.85,5,0.196125,41.966198,41.327721,
17.88,5,0.196568,42.068417,41.217972,
17.91,5,0.196975,42.170635,41.108215,
17.94,5,0.197348,42.272854,40.998459,
17.97,5,0.19769,42.37508,40.888702,
18,5,0.198001,42.472706,40.774834,
18.03,5,0.197898,42.570332,40.660965,
18.06,5,0.197802,42.66795,40.547096,
18.09,5,0.197712,42.765575,40.43322,
18.12,5,0.197628,42.863201,40.319344,
18.15,5,0.197547,42.956158,40.201622,
18.18,5,0.197063,43.049114,40.083908,
18.21,5,0.196619,43.142071,39.966187,
18.24,5,0.196208,43.235035,39.848465,
18.27,5,0.195827,43.324131,39.727814,
18.3,5,0.195135,43.413227,39.607155,
18.33,5,0.1945,43.502323,39.486496,
18.36,5,0.193915,43.591419,39.365837,
18.39,5,0.193369,43.680515,39.245186,
18.42,5,0.192865,43.765049,39.121292,
18.45,5,0.192,43.849583,38.997398,
18.48,5,0.191203,43.934116,38.873505,
18.51,5,0.190469,44.01865,38.749611,
18.54,5,0.189789,44.103176,38.62571,
18.57,5,0.189164,44.183033,38.498749,
18.6,5,0.188178,44.26289,38.37178,
18.63,5,0.187269,44.342747,38.244812,
18.66,5,0.186432,44.422604,38.117844,
18.69,5,0.185659,44.502468,37.990868,
18.72,5,0.184941,44.577656,37.861076,
18.75,5,0.183884,44.652843,37.731277,
18.78,5,0.182908,44.728031,37.601486,
18.81,5,0.182011,44.803219,37.471687,
18.84,5,0.181184,44.874569,37.33976,
18.87,5,0.180107,44.945919,37.207832,
18.9,5,0.179117,45.017269,37.075897,
18.93,5,0.178201,45.088619,36.94397,
18.96,5,0.17736,45.159969,36.812035,
18.99,5,0.176581,45.226849,36.677788,
19.02,5,0.17551,45.293736,36.543541,
19.05,5,0.174523,45.360622,36.409294,
19.08,5,0.17361,45.427502,36.275047,
19.11,5,0.172769,45.494389,36.140793,
19.14,5,0.171996,45.556728,36.004379,
19.17,5,0.170934,45.619076,35.867958,
19.2,5,0.169954,45.681423,35.731537,
19.23,5,0.169053,45.743763,35.595116,
19.26,5,0.168218,45.80611,35.458694,
19.29,5,0.167449,45.863949,35.320305,
19.32,5,0.166416,45.921787,35.181908,
19.35,5,0.165468,45.979626,35.043518,
19.38,5,0.164594,46.037464,34.905121,
19.41,5,0.163787,46.095303,34.766724,
19.44,5,0.163042,46.148685,34.626549,
19.47,5,0.162052,46.202068,34.486374,
19.5,5,0.161143,46.255451,34.346199,
19.53,5,0.160301,46.308834,34.206017,
19.56,5,0.159526,46.362225,34.065842,
19.59,5,0.15881,46.411205,33.924065,
19.62,5,0.157878,46.460186,33.782288,
19.65,5,0.157017,46.509174,33.640511,
19.68,5,0.156227,46.558155,33.498734,
19.71,5,0.155497,46.607143,33.356956,
19.74,5,0.154822,46.651783,33.213753,
19.77,5,0.153939,46.696415,33.070549,
19.8,5,0.153125,46.741055,32.927345,
19.83,5,0.152372,46.785694,32.784142,
19.86,5,0.15168,46.830326,32.64093,
19.89,5,0.151042,46.87067,32.496452,
19.92,5,0.150227,46.911015,32.351982,
19.95,5,0.14948,46.951359,32.207504,
19.98,5,0.148789,46.991703,32.063026,
20.01,5,0.148152,47.028522,31.917627,
20.04,5,0.147393,47.06535,31.772226,
20.07,5,0.146693,47.102169,31.626822,
20.1,5,0.146049,47.138996,31.481417,
20.13,5,0.145457,47.175816,31.336012,
20.16,5,0.144909,47.208546,31.189638,
20.19,5,0.14422,47.241276,31.043264,
